City ID,Date,Country,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloud Cover
150,2020-04-14 23:32:39,CU,Aguada de Pasajeros,22.39,-80.85,82.4,83,11.41,0
151,2020-04-14 23:29:33,AU,Moree,-29.47,149.85,69.8,64,12.75,2
152,2020-04-14 23:32:39,NG,Warri,5.52,5.75,79.92,88,4.16,20
153,2020-04-14 23:32:39,RU,Nerchinskiy Zavod,51.31,119.61,42.17,44,4.94,36
154,2020-04-14 23:32:39,GD,Gouyave,12.16,-61.73,80.6,78,5.82,20
155,2020-04-14 23:28:19,US,Yarmouth,41.71,-70.23,51.01,57,11.41,1
156,2020-04-14 23:24:50,FO,Klaksvík,62.23,-6.59,44.6,100,19.46,100
157,2020-04-14 23:32:39,CA,Shaunavon,49.65,-108.42,34.02,59,4.12,97
158,2020-04-14 23:27:41,US,Eureka,40.8,-124.16,71.6,45,16.11,1
159,2020-04-14 23:20:58,KI,Butaritari,3.07,172.79,83.66,80,17.02,66
160,2020-04-14 23:20:07,BR,São João da Barra,-21.64,-41.05,75.04,82,15.9,4
161,2020-04-14 23:25:08,AU,Mount Gambier,-37.83,140.77,64.4,39,14.99,99
162,2020-04-14 23:21:11,NZ,Te Anau,-45.42,167.72,48.34,57,1.57,93
163,2020-04-14 23:32:39,TD,Adré,13.47,22.2,71.96,14,16.91,21
164,2020-04-14 23:29:45,RU,Deputatsky,69.3,139.9,-1.86,86,4.94,99
165,2020-04-14 23:32:39,PE,Chilca,-12.52,-76.74,73.4,73,9.17,28
166,2020-04-14 23:29:33,GB,Winchester,51.07,-1.32,42.01,80,3.36,6
167,2020-04-14 23:21:06,NC,Poum,-20.23,164.02,79.0,78,12.66,86
168,2020-04-14 23:32:40,SO,Berbera,10.44,45.01,83.03,78,6.38,85
169,2020-04-14 23:20:46,AU,Port Hedland,-20.32,118.57,77.0,88,3.36,14
170,2020-04-14 23:29:37,IS,Dalvik,65.97,-18.53,41.0,41,19.46,93
171,2020-04-14 23:24:54,MY,George Town,5.41,100.34,80.6,94,3.36,20
172,2020-04-14 23:32:40,MX,Miraflores,19.22,-98.81,95.0,20,13.87,5
173,2020-04-14 23:24:51,PT,Ribeira Grande,38.52,-28.7,51.8,66,17.22,75
174,2020-04-14 23:25:02,PG,Kavieng,-2.57,150.8,82.54,76,6.04,69
175,2020-04-14 23:25:05,CA,Port Hardy,50.7,-127.42,60.8,55,16.11,40
176,2020-04-14 23:24:53,PT,Lagoa,39.05,-27.98,54.3,71,14.54,100
177,2020-04-14 23:25:12,CA,Thompson,55.74,-97.86,24.8,35,10.29,20
178,2020-04-14 23:32:40,VN,Bac Lieu,9.29,105.72,82.17,75,15.19,43
179,2020-04-14 23:32:12,US,Baton Rouge,30.45,-91.15,73.4,46,12.75,1
180,2020-04-14 23:27:27,CA,Moose Factory,51.26,-80.61,17.6,61,19.46,90
181,2020-04-14 23:27:57,SO,Mogadishu,2.04,45.34,83.64,77,11.1,87
182,2020-04-14 23:21:00,RU,Severo-Kuril'sk,50.68,156.12,31.14,93,13.85,100
183,2020-04-14 23:21:26,GL,Ilulissat,69.22,-51.1,21.6,97,3.29,100
184,2020-04-14 23:25:05,AU,Esperance,-33.87,121.9,59.0,82,14.99,85
185,2020-04-14 23:20:46,RU,Chokurdakh,70.63,147.92,-4.31,90,5.53,0
186,2020-04-14 23:32:40,LY,Awjilah,29.11,21.29,73.74,20,13.13,13
187,2020-04-14 23:32:41,CA,Assiniboia,49.63,-105.98,34.48,47,8.75,3
188,2020-04-14 23:32:41,PE,Sicuani,-14.27,-71.23,47.73,19,6.31,39
189,2020-04-14 23:25:23,GA,Gamba,-2.65,10.0,79.95,87,4.76,100
190,2020-04-14 23:32:41,BR,Mocajuba,-2.58,-49.51,70.57,97,1.07,100
191,2020-04-14 23:21:47,IS,Vestmannaeyjar,63.44,-20.27,40.37,77,17.38,100
192,2020-04-14 23:32:41,JP,Nemuro,43.32,145.57,31.77,92,14.0,91
193,2020-04-14 23:25:29,US,Jamestown,42.1,-79.24,41.0,75,11.41,90
194,2020-04-14 23:25:12,PT,Ponta do Sol,32.67,-17.1,60.8,55,8.05,20
195,2020-04-14 23:25:30,OM,Salalah,17.02,54.09,80.6,74,6.93,40
196,2020-04-14 23:32:41,CN,Dongying,37.46,118.49,64.76,38,7.05,3
197,2020-04-14 23:20:07,RU,Cherskiy,68.75,161.3,8.46,95,10.0,89
198,2020-04-14 23:24:54,ZA,East London,-33.02,27.91,65.16,70,6.02,100
199,2020-04-14 23:30:21,DE,Stralsund,54.31,13.08,43.0,78,16.11,75
200,2020-04-14 23:32:41,KZ,Zhangaözen,43.3,52.8,46.22,47,12.1,0
201,2020-04-14 23:26:10,PK,Mitha Tiwana,32.25,72.11,73.31,55,5.61,12
202,2020-04-14 23:32:41,JP,Nishihara,26.18,127.76,66.2,68,3.36,40
203,2020-04-14 23:32:41,RU,Surgut,61.25,73.42,39.2,60,11.18,100
204,2020-04-14 23:32:41,RU,Novochernorechenskiy,56.27,91.08,41.54,85,1.9,74
